,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_beta_insula|participant_id_mu,-0.012,0.266,-0.468,0.536,0.04,0.029,43.0,93.0,1.01
"z_switch_condition_num|participant_id[3.0, 62043]",-0.198,0.045,-0.282,-0.115,0.007,0.005,45.0,143.0,1.06
"z_switch_condition_num|participant_id[3.0, 62063]",-0.28,0.045,-0.362,-0.194,0.006,0.004,53.0,105.0,1.02
"z_switch_condition_num|participant_id[3.0, 62073]",0.115,0.038,0.039,0.185,0.005,0.003,63.0,63.0,1.03
"z_switch_condition_num|participant_id[3.0, 62093]",-0.218,0.039,-0.303,-0.155,0.006,0.005,44.0,34.0,1.05
"z_switch_condition_num|participant_id[3.0, 62103]",-0.408,0.067,-0.54,-0.291,0.017,0.013,15.0,117.0,1.1
"z_switch_condition_num|participant_id[3.0, 62113]",-0.254,0.039,-0.323,-0.177,0.004,0.003,102.0,277.0,1.02
"z_switch_condition_num|participant_id[3.0, 62123]",-0.224,0.043,-0.298,-0.141,0.009,0.007,23.0,52.0,1.09
"z_switch_condition_num|participant_id[3.0, 62133]",-0.314,0.046,-0.39,-0.218,0.006,0.004,62.0,220.0,1.06
"z_switch_condition_num|participant_id[3.0, 62143]",-0.298,0.046,-0.375,-0.211,0.008,0.006,44.0,224.0,1.07
"z_switch_condition_num|participant_id[3.0, 62153]",-0.371,0.041,-0.44,-0.291,0.004,0.003,93.0,175.0,1.02
"z_switch_condition_num|participant_id[3.0, 62163]",-0.199,0.036,-0.271,-0.131,0.004,0.003,91.0,188.0,1.03
"z_switch_condition_num|participant_id[3.0, 62173]",-0.297,0.041,-0.371,-0.221,0.004,0.003,98.0,170.0,1.01
"z_switch_condition_num|participant_id[3.0, 62193]",-0.343,0.044,-0.429,-0.267,0.004,0.003,100.0,255.0,1.01
"z_switch_condition_num|participant_id[3.0, 62213]",-0.185,0.041,-0.267,-0.116,0.005,0.004,62.0,81.0,1.06
"z_switch_condition_num|participant_id[3.0, 62233]",-0.451,0.041,-0.522,-0.37,0.009,0.006,24.0,94.0,1.09
"z_switch_condition_num|participant_id[3.0, 62253]",-0.22,0.041,-0.3,-0.143,0.005,0.004,56.0,54.0,1.05
"z_switch_condition_num|participant_id[3.0, 62263]",-0.294,0.046,-0.386,-0.21,0.006,0.004,54.0,172.0,1.02
"z_switch_condition_num|participant_id[3.0, 62273]",-0.275,0.046,-0.362,-0.188,0.006,0.004,64.0,109.0,1.02
"z_switch_condition_num|participant_id[3.0, 62283]",-0.258,0.043,-0.347,-0.187,0.006,0.005,45.0,63.0,1.07
"z_switch_condition_num|participant_id[3.0, 62293]",-0.254,0.043,-0.342,-0.179,0.005,0.004,65.0,127.0,1.03
"z_switch_condition_num|participant_id[3.0, 62303]",-0.452,0.039,-0.521,-0.376,0.004,0.003,113.0,291.0,1.01
"z_switch_condition_num|participant_id[3.0, 62313]",-0.214,0.039,-0.287,-0.148,0.006,0.004,42.0,80.0,1.05
"z_switch_condition_num|participant_id[3.0, 62323]",-0.169,0.035,-0.246,-0.112,0.004,0.003,73.0,151.0,1.03
"z_switch_condition_num|participant_id[3.0, 62333]",-0.232,0.048,-0.316,-0.147,0.007,0.005,48.0,137.0,1.02
"z_switch_condition_num|participant_id[3.0, 62343]",-0.329,0.048,-0.417,-0.238,0.006,0.005,59.0,114.0,1.05
"z_switch_condition_num|participant_id[3.0, 62363]",-0.154,0.048,-0.234,-0.058,0.007,0.005,45.0,63.0,1.09
"z_switch_condition_num|participant_id[3.0, 62373]",-0.292,0.039,-0.362,-0.218,0.004,0.003,112.0,248.0,1.03
"z_switch_condition_num|participant_id[3.0, 62393]",-0.197,0.047,-0.287,-0.11,0.009,0.006,30.0,87.0,1.11
"z_switch_condition_num|participant_id[3.0, 62403]",-0.322,0.042,-0.397,-0.24,0.005,0.004,57.0,176.0,1.02
"z_switch_condition_num|participant_id[3.0, 62413]",-0.278,0.048,-0.375,-0.188,0.006,0.004,69.0,125.0,1.04
"z_switch_condition_num|participant_id[3.0, 62423]",-0.276,0.045,-0.351,-0.189,0.006,0.004,64.0,96.0,1.04
"z_switch_condition_num|participant_id[3.0, 62433]",-0.192,0.037,-0.258,-0.116,0.004,0.003,87.0,154.0,1.01
"z_switch_condition_num|participant_id[3.0, 62443]",-0.257,0.04,-0.327,-0.18,0.008,0.006,26.0,103.0,1.08
"z_switch_condition_num|participant_id[4.0, 42013]",-0.124,0.028,-0.172,-0.073,0.007,0.005,15.0,199.0,1.13
"z_switch_condition_num|participant_id[4.0, 42023]",-0.168,0.031,-0.224,-0.11,0.004,0.003,58.0,100.0,1.03
"z_switch_condition_num|participant_id[4.0, 42033]",-0.165,0.038,-0.24,-0.097,0.006,0.004,46.0,81.0,1.01
"z_switch_condition_num|participant_id[4.0, 42043]",-0.237,0.039,-0.308,-0.16,0.005,0.003,65.0,280.0,1.03
"z_switch_condition_num|participant_id[4.0, 42053]",-0.107,0.029,-0.157,-0.052,0.004,0.003,61.0,169.0,1.04
"z_switch_condition_num|participant_id[4.0, 42063]",-0.111,0.037,-0.174,-0.035,0.006,0.004,43.0,36.0,1.04
"z_switch_condition_num|participant_id[4.0, 42073]",-0.064,0.032,-0.123,-0.006,0.007,0.006,23.0,88.0,1.06
"z_switch_condition_num|participant_id[4.0, 42083]",-0.134,0.038,-0.229,-0.079,0.007,0.005,32.0,36.0,1.1
"z_switch_condition_num|participant_id[4.0, 42103]",-0.129,0.033,-0.182,-0.062,0.004,0.003,78.0,194.0,1.02
"z_switch_condition_num|participant_id[4.0, 42123]",-0.113,0.037,-0.178,-0.052,0.011,0.008,12.0,91.0,1.14
"z_switch_condition_num|participant_id[4.0, 42133]",-0.156,0.036,-0.219,-0.093,0.006,0.004,40.0,64.0,1.02
"z_switch_condition_num|participant_id[4.0, 42143]",-0.111,0.034,-0.175,-0.049,0.009,0.007,15.0,44.0,1.13
"z_switch_condition_num|participant_id[4.0, 42153]",-0.215,0.039,-0.283,-0.138,0.006,0.004,43.0,145.0,1.03
"z_switch_condition_num|participant_id[4.0, 42163]",0.022,0.03,-0.033,0.08,0.009,0.006,13.0,22.0,1.15
"z_switch_condition_num|participant_id[4.0, 42173]",-0.152,0.043,-0.228,-0.075,0.006,0.005,45.0,72.0,1.03
"z_switch_condition_num|participant_id[4.0, 42183]",-0.126,0.033,-0.198,-0.067,0.01,0.008,12.0,15.0,1.11
"z_switch_condition_num|participant_id[4.0, 42203]",-0.045,0.03,-0.1,0.006,0.004,0.003,56.0,151.0,1.05
"z_switch_condition_num|participant_id[4.0, 42213]",-0.149,0.046,-0.234,-0.066,0.009,0.007,27.0,55.0,1.05
"z_switch_condition_num|participant_id[4.0, 42233]",-0.117,0.03,-0.178,-0.067,0.004,0.003,49.0,91.0,1.04
"z_switch_condition_num|participant_id[4.0, 42253]",-0.089,0.027,-0.137,-0.031,0.004,0.003,48.0,65.0,1.04
"z_switch_condition_num|participant_id[4.0, 42263]",-0.172,0.038,-0.242,-0.087,0.004,0.003,118.0,68.0,1.02
"z_switch_condition_num|participant_id[4.0, 42273]",-0.095,0.031,-0.164,-0.042,0.005,0.004,34.0,106.0,1.05
"z_switch_condition_num|participant_id[4.0, 42283]",-0.113,0.035,-0.175,-0.047,0.006,0.004,31.0,23.0,1.06
"z_switch_condition_num|participant_id[4.0, 42293]",-0.171,0.049,-0.257,-0.079,0.017,0.013,8.0,62.0,1.19
"z_switch_condition_num|participant_id[4.0, 42303]",-0.162,0.043,-0.247,-0.08,0.011,0.009,17.0,82.0,1.11
"z_switch_condition_num|participant_id[4.0, 42313]",-0.098,0.034,-0.169,-0.03,0.007,0.005,28.0,42.0,1.08
"z_switch_condition_num|participant_id[4.0, 42323]",-0.16,0.037,-0.223,-0.085,0.006,0.004,46.0,96.0,1.08
"z_switch_condition_num|participant_id[4.0, 42343]",-0.118,0.034,-0.184,-0.058,0.005,0.004,49.0,79.0,1.06
"z_switch_condition_num|participant_id[4.0, 42353]",-0.268,0.035,-0.337,-0.206,0.003,0.002,116.0,284.0,1.01
"z_switch_condition_num|participant_id[4.0, 42363]",-0.147,0.038,-0.216,-0.077,0.007,0.005,32.0,81.0,1.06
"z_switch_condition_num|participant_id[4.0, 42373]",-0.197,0.044,-0.27,-0.096,0.007,0.005,45.0,92.0,1.03
"z_switch_condition_num|participant_id[4.0, 42383]",-0.213,0.036,-0.279,-0.144,0.007,0.005,24.0,85.0,1.08
"z_switch_condition_num|participant_id[4.0, 42393]",-0.098,0.036,-0.165,-0.028,0.005,0.004,56.0,97.0,1.02
"z_switch_condition_num|participant_id[4.0, 42403]",-0.034,0.027,-0.086,0.012,0.008,0.006,13.0,51.0,1.14
"z_switch_condition_num|participant_id[4.0, 42413]",-0.075,0.04,-0.146,0.009,0.006,0.004,42.0,23.0,1.04
"z_switch_condition_num|participant_id[4.0, 42423]",-0.094,0.028,-0.148,-0.044,0.005,0.004,27.0,111.0,1.08
"z_switch_condition_num|participant_id[4.0, 62013]",-0.155,0.04,-0.238,-0.086,0.007,0.005,33.0,43.0,1.03
"z_switch_condition_num|participant_id[4.0, 62023]",-0.052,0.042,-0.123,0.013,0.007,0.005,39.0,110.0,1.02
"z_switch_condition_num|participant_id[4.0, 62043]",-0.156,0.038,-0.223,-0.091,0.006,0.004,42.0,92.0,1.06
"z_switch_condition_num|participant_id[4.0, 62063]",-0.094,0.037,-0.176,-0.036,0.006,0.004,41.0,61.0,1.01
"z_switch_condition_num|participant_id[4.0, 62073]",0.0,0.041,-0.079,0.066,0.01,0.007,16.0,97.0,1.13
"z_switch_condition_num|participant_id[4.0, 62093]",-0.088,0.029,-0.136,-0.027,0.003,0.002,71.0,91.0,1.05
"z_switch_condition_num|participant_id[4.0, 62103]",-0.18,0.035,-0.255,-0.116,0.004,0.003,69.0,67.0,1.01
"z_switch_condition_num|participant_id[4.0, 62113]",-0.22,0.036,-0.289,-0.155,0.003,0.002,140.0,263.0,1.02
"z_switch_condition_num|participant_id[4.0, 62123]",-0.042,0.04,-0.106,0.033,0.008,0.006,25.0,92.0,1.08
"z_switch_condition_num|participant_id[4.0, 62133]",-0.175,0.035,-0.251,-0.118,0.004,0.003,89.0,112.0,1.0
"z_switch_condition_num|participant_id[4.0, 62143]",-0.08,0.039,-0.154,-0.018,0.01,0.007,16.0,65.0,1.12
"z_switch_condition_num|participant_id[4.0, 62153]",-0.049,0.032,-0.102,0.011,0.008,0.006,18.0,45.0,1.09
"z_switch_condition_num|participant_id[4.0, 62163]",-0.228,0.037,-0.294,-0.16,0.004,0.003,76.0,254.0,1.02
"z_switch_condition_num|participant_id[4.0, 62173]",-0.193,0.036,-0.266,-0.127,0.004,0.003,73.0,50.0,1.02
"z_switch_condition_num|participant_id[4.0, 62193]",-0.321,0.044,-0.399,-0.235,0.005,0.004,64.0,264.0,1.02
"z_switch_condition_num|participant_id[4.0, 62213]",-0.174,0.042,-0.259,-0.096,0.006,0.004,56.0,87.0,1.03
"z_switch_condition_num|participant_id[4.0, 62233]",-0.168,0.041,-0.242,-0.093,0.007,0.005,33.0,60.0,1.1
"z_switch_condition_num|participant_id[4.0, 62253]",-0.057,0.032,-0.113,0.001,0.006,0.004,34.0,133.0,1.09
"z_switch_condition_num|participant_id[4.0, 62263]",-0.131,0.038,-0.198,-0.047,0.007,0.005,34.0,16.0,1.04
"z_switch_condition_num|participant_id[4.0, 62273]",-0.082,0.033,-0.146,-0.03,0.01,0.007,11.0,84.0,1.14
"z_switch_condition_num|participant_id[4.0, 62283]",-0.098,0.027,-0.147,-0.047,0.004,0.003,51.0,128.0,1.08
"z_switch_condition_num|participant_id[4.0, 62293]",-0.091,0.036,-0.167,-0.034,0.005,0.004,47.0,63.0,1.04
"z_switch_condition_num|participant_id[4.0, 62303]",-0.17,0.032,-0.232,-0.11,0.003,0.002,97.0,180.0,1.01
"z_switch_condition_num|participant_id[4.0, 62313]",-0.168,0.036,-0.228,-0.092,0.004,0.003,69.0,90.0,1.02
"z_switch_condition_num|participant_id[4.0, 62323]",-0.034,0.039,-0.106,0.037,0.008,0.006,26.0,89.0,1.09
"z_switch_condition_num|participant_id[4.0, 62333]",-0.032,0.032,-0.097,0.027,0.005,0.004,39.0,48.0,1.09
"z_switch_condition_num|participant_id[4.0, 62343]",-0.408,0.042,-0.484,-0.323,0.005,0.003,78.0,161.0,1.02
"z_switch_condition_num|participant_id[4.0, 62363]",-0.19,0.035,-0.251,-0.118,0.005,0.004,47.0,196.0,1.03
"z_switch_condition_num|participant_id[4.0, 62373]",-0.174,0.043,-0.266,-0.101,0.005,0.004,76.0,59.0,1.01
"z_switch_condition_num|participant_id[4.0, 62393]",-0.099,0.037,-0.171,-0.034,0.01,0.007,15.0,38.0,1.15
"z_switch_condition_num|participant_id[4.0, 62403]",-0.061,0.031,-0.119,-0.007,0.006,0.004,30.0,130.0,1.05
"z_switch_condition_num|participant_id[4.0, 62413]",-0.131,0.049,-0.214,-0.043,0.011,0.008,18.0,48.0,1.11
"z_switch_condition_num|participant_id[4.0, 62423]",-0.23,0.038,-0.303,-0.166,0.004,0.003,87.0,120.0,1.01
"z_switch_condition_num|participant_id[4.0, 62433]",-0.055,0.038,-0.127,0.01,0.011,0.008,12.0,21.0,1.15
"z_switch_condition_num|participant_id[4.0, 62443]",-0.114,0.037,-0.188,-0.041,0.006,0.004,43.0,140.0,1.03
v_1|participant_id_sigma,0.711,0.093,0.552,0.881,0.04,0.03,5.0,37.0,1.29
z_switch_condition_num|participant_id_sigma[2.0],0.227,0.019,0.191,0.26,0.005,0.004,14.0,38.0,1.11
z_switch_condition_num|participant_id_sigma[3.0],0.271,0.021,0.231,0.304,0.008,0.006,7.0,40.0,1.24
z_switch_condition_num|participant_id_sigma[4.0],0.155,0.012,0.135,0.18,0.004,0.003,10.0,38.0,1.15
z_switch_condition_num|participant_id_mu[2.0],0.032,0.219,-0.337,0.486,0.039,0.028,33.0,83.0,1.06
z_switch_condition_num|participant_id_mu[3.0],-0.019,0.234,-0.426,0.449,0.044,0.032,29.0,68.0,1.04
z_switch_condition_num|participant_id_mu[4.0],0.081,0.227,-0.276,0.587,0.04,0.031,35.0,41.0,1.03
z_1|participant_id_sigma,0.082,0.009,0.067,0.102,0.002,0.001,23.0,107.0,1.06
z_pupil|participant_id_sigma,0.02,0.002,0.016,0.024,0.0,0.0,51.0,99.0,1.06
t_Intercept,0.468,0.01,0.45,0.488,0.005,0.004,4.0,14.0,1.5
t_1|participant_id_offset[42013],0.607,0.273,0.19,1.097,0.122,0.092,6.0,32.0,1.31
t_1|participant_id_offset[42023],-1.363,0.236,-1.765,-0.942,0.071,0.052,11.0,65.0,1.15
t_1|participant_id_offset[42033],-0.543,0.308,-1.13,0.014,0.107,0.079,9.0,34.0,1.19
t_1|participant_id_offset[42043],-0.751,0.281,-1.281,-0.266,0.065,0.052,22.0,23.0,1.14
t_1|participant_id_offset[42053],-1.063,0.233,-1.463,-0.601,0.052,0.037,21.0,63.0,1.05
t_1|participant_id_offset[42063],-0.214,0.242,-0.608,0.32,0.106,0.079,5.0,24.0,1.3
t_1|participant_id_offset[42073],-0.044,0.33,-0.857,0.349,0.172,0.133,4.0,21.0,1.43
t_1|participant_id_offset[42083],-0.3,0.301,-0.757,0.314,0.162,0.126,4.0,14.0,1.52
t_1|participant_id_offset[42103],-0.694,0.28,-1.073,0.008,0.108,0.08,7.0,18.0,1.21
t_1|participant_id_offset[42123],-1.061,0.343,-1.681,-0.412,0.074,0.053,23.0,39.0,1.21
t_1|participant_id_offset[42133],-0.347,0.305,-0.892,0.149,0.081,0.061,15.0,65.0,1.1
t_1|participant_id_offset[42143],-0.835,0.363,-1.452,-0.217,0.179,0.137,4.0,42.0,1.39
t_1|participant_id_offset[42153],-0.612,0.312,-1.219,-0.045,0.086,0.062,12.0,20.0,1.13
t_1|participant_id_offset[42163],0.367,0.228,-0.043,0.754,0.07,0.051,13.0,53.0,1.22
t_1|participant_id_offset[42173],-0.893,0.253,-1.306,-0.422,0.049,0.035,26.0,56.0,1.04
t_1|participant_id_offset[42183],-0.04,0.272,-0.632,0.352,0.075,0.054,14.0,21.0,1.08
t_1|participant_id_offset[42203],0.21,0.477,-0.943,0.908,0.215,0.162,4.0,27.0,1.5
t_1|participant_id_offset[42213],0.137,0.371,-0.543,0.876,0.082,0.079,23.0,20.0,1.15
t_1|participant_id_offset[42233],-0.801,0.19,-1.174,-0.48,0.054,0.04,14.0,122.0,1.14
t_1|participant_id_offset[42253],-0.822,0.297,-1.35,-0.229,0.104,0.076,9.0,57.0,1.18
t_1|participant_id_offset[42263],0.105,0.244,-0.395,0.468,0.118,0.09,5.0,42.0,1.38
t_1|participant_id_offset[42273],-0.188,0.38,-0.778,0.419,0.204,0.167,4.0,62.0,1.52
t_1|participant_id_offset[42283],-0.938,0.365,-1.627,-0.369,0.082,0.059,21.0,46.0,1.06
t_1|participant_id_offset[42293],0.339,0.449,-0.321,1.29,0.189,0.141,6.0,13.0,1.26
t_1|participant_id_offset[42303],0.609,0.406,-0.026,1.399,0.185,0.14,5.0,23.0,1.35
t_1|participant_id_offset[42313],-1.024,0.223,-1.431,-0.629,0.075,0.055,8.0,16.0,1.19
t_1|participant_id_offset[42323],-0.122,0.303,-0.586,0.441,0.092,0.067,11.0,15.0,1.13
t_1|participant_id_offset[42343],0.294,0.281,-0.236,0.749,0.133,0.101,5.0,54.0,1.39
t_1|participant_id_offset[42353],-1.412,0.267,-1.875,-0.915,0.052,0.037,28.0,74.0,1.08
t_1|participant_id_offset[42363],-1.7,0.394,-2.33,-0.847,0.072,0.052,34.0,47.0,1.02
t_1|participant_id_offset[42373],-1.502,0.341,-2.148,-0.836,0.161,0.122,4.0,26.0,1.4
t_1|participant_id_offset[42383],-0.99,0.259,-1.431,-0.503,0.054,0.039,22.0,34.0,1.09
t_1|participant_id_offset[42393],-1.471,0.325,-2.048,-0.804,0.086,0.062,14.0,28.0,1.13
t_1|participant_id_offset[42403],0.145,0.304,-0.393,0.626,0.089,0.064,11.0,52.0,1.17
t_1|participant_id_offset[42413],-1.474,0.302,-1.989,-0.911,0.088,0.065,11.0,50.0,1.15
t_1|participant_id_offset[42423],0.141,0.387,-0.537,0.877,0.186,0.142,4.0,16.0,1.43
t_1|participant_id_offset[62013],-0.371,0.261,-0.898,0.086,0.104,0.077,7.0,20.0,1.22
t_1|participant_id_offset[62023],2.201,0.425,1.342,2.89,0.124,0.095,12.0,15.0,1.12
t_1|participant_id_offset[62043],0.857,0.253,0.433,1.344,0.091,0.067,9.0,41.0,1.15
t_1|participant_id_offset[62063],0.107,0.191,-0.224,0.455,0.073,0.054,7.0,18.0,1.26
t_1|participant_id_offset[62073],3.569,0.503,2.749,4.557,0.185,0.138,8.0,107.0,1.19
t_1|participant_id_offset[62093],0.892,0.231,0.488,1.305,0.069,0.055,12.0,56.0,1.12
t_1|participant_id_offset[62103],-0.089,0.3,-0.614,0.395,0.135,0.102,5.0,15.0,1.33
t_1|participant_id_offset[62113],1.01,0.352,0.323,1.632,0.06,0.043,35.0,70.0,1.05
t_1|participant_id_offset[62123],0.855,0.347,0.233,1.394,0.076,0.055,22.0,65.0,1.06
t_1|participant_id_offset[62133],0.445,0.247,0.067,0.929,0.089,0.073,11.0,20.0,1.16
t_1|participant_id_offset[62143],-0.204,0.307,-0.744,0.337,0.105,0.077,9.0,19.0,1.19
t_1|participant_id_offset[62153],0.819,0.249,0.296,1.256,0.109,0.081,5.0,55.0,1.32
t_1|participant_id_offset[62163],-0.107,0.222,-0.565,0.213,0.082,0.061,7.0,39.0,1.24
t_1|participant_id_offset[62173],-0.006,0.215,-0.55,0.312,0.067,0.05,11.0,17.0,1.16
t_1|participant_id_offset[62193],-0.034,0.311,-0.526,0.629,0.127,0.095,6.0,50.0,1.29
t_1|participant_id_offset[62213],0.941,0.279,0.364,1.401,0.113,0.084,6.0,21.0,1.25
t_1|participant_id_offset[62233],-0.024,0.193,-0.374,0.323,0.053,0.039,13.0,21.0,1.18
t_1|participant_id_offset[62253],-0.015,0.306,-0.636,0.372,0.186,0.149,3.0,11.0,1.73
t_1|participant_id_offset[62263],-0.717,0.257,-1.202,-0.238,0.048,0.034,29.0,38.0,1.04
t_1|participant_id_offset[62273],0.926,0.322,0.14,1.373,0.087,0.063,20.0,29.0,1.1
t_1|participant_id_offset[62283],0.322,0.4,-0.537,1.003,0.228,0.18,3.0,24.0,1.87
t_1|participant_id_offset[62293],0.813,0.328,0.269,1.399,0.149,0.113,6.0,13.0,1.32
t_1|participant_id_offset[62303],-0.006,0.207,-0.476,0.318,0.035,0.025,34.0,64.0,1.03
t_1|participant_id_offset[62313],0.139,0.238,-0.326,0.591,0.07,0.051,13.0,30.0,1.13
t_1|participant_id_offset[62323],-0.717,0.349,-1.385,-0.153,0.067,0.049,28.0,61.0,1.06
t_1|participant_id_offset[62333],-0.227,0.261,-0.635,0.396,0.066,0.048,16.0,39.0,1.1
t_1|participant_id_offset[62343],-0.666,0.249,-1.108,-0.234,0.066,0.048,14.0,80.0,1.11
t_1|participant_id_offset[62363],0.568,0.365,-0.008,1.245,0.196,0.154,4.0,13.0,1.54
t_1|participant_id_offset[62373],1.766,0.329,1.245,2.402,0.055,0.039,35.0,90.0,1.03
t_1|participant_id_offset[62393],-1.335,0.405,-2.122,-0.675,0.161,0.119,6.0,42.0,1.27
t_1|participant_id_offset[62403],0.979,0.269,0.503,1.448,0.062,0.045,19.0,87.0,1.11
t_1|participant_id_offset[62413],1.569,0.332,0.97,2.162,0.105,0.078,11.0,104.0,1.15
t_1|participant_id_offset[62423],-0.343,0.245,-0.763,0.082,0.06,0.044,18.0,57.0,1.11
t_1|participant_id_offset[62433],1.145,0.327,0.556,1.687,0.121,0.09,8.0,68.0,1.2
t_1|participant_id_offset[62443],0.033,0.274,-0.653,0.433,0.088,0.064,12.0,14.0,1.14
