,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_beta_insula|participant_id_mu,-0.012,0.266,-0.468,0.536,0.04,0.029,43.0,93.0,1.01
"z_switch_condition_num|participant_id_offset[2.0, 62023]",0.79,0.202,0.412,1.185,0.029,0.021,53.0,43.0,1.03
"z_switch_condition_num|participant_id_offset[2.0, 62043]",-0.548,0.196,-1.003,-0.231,0.029,0.021,46.0,77.0,1.03
"z_switch_condition_num|participant_id_offset[2.0, 62063]",-0.992,0.307,-1.453,-0.331,0.071,0.051,21.0,43.0,1.09
"z_switch_condition_num|participant_id_offset[2.0, 62073]",0.783,0.226,0.343,1.168,0.051,0.037,19.0,152.0,1.09
"z_switch_condition_num|participant_id_offset[2.0, 62093]",-0.943,0.246,-1.423,-0.48,0.058,0.042,22.0,44.0,1.11
"z_switch_condition_num|participant_id_offset[2.0, 62103]",-1.05,0.383,-1.792,-0.401,0.079,0.06,27.0,34.0,1.09
"z_switch_condition_num|participant_id_offset[2.0, 62113]",-1.247,0.204,-1.664,-0.885,0.02,0.014,103.0,179.0,1.0
"z_switch_condition_num|participant_id_offset[2.0, 62123]",-0.176,0.286,-0.744,0.266,0.054,0.039,30.0,101.0,1.06
"z_switch_condition_num|participant_id_offset[2.0, 62133]",-0.745,0.216,-1.154,-0.318,0.025,0.018,81.0,114.0,1.03
"z_switch_condition_num|participant_id_offset[2.0, 62143]",-0.691,0.238,-1.156,-0.218,0.066,0.048,12.0,51.0,1.17
"z_switch_condition_num|participant_id_offset[2.0, 62153]",-0.985,0.258,-1.411,-0.469,0.035,0.025,56.0,112.0,1.01
"z_switch_condition_num|participant_id_offset[2.0, 62163]",-0.543,0.264,-0.975,-0.001,0.053,0.038,24.0,78.0,1.06
"z_switch_condition_num|participant_id_offset[2.0, 62173]",-1.038,0.263,-1.523,-0.575,0.053,0.039,26.0,85.0,1.08
"z_switch_condition_num|participant_id_offset[2.0, 62193]",-1.081,0.274,-1.558,-0.541,0.086,0.067,12.0,29.0,1.13
